target,num_stamps,overpayment,stamps
48,1,97,[145]
48,1,63,[111]
48,1,55,[103]
48,1,52,[100]
48,1,39,[87]
48,1,15,[63]
48,1,0,[48]
48,2,32,"[40, 40]"
48,2,16,"[40, 24]"
48,2,2,"[40, 10]"
48,3,2,"[40, 5, 5]"
48,3,1,"[40, 5, 4]"
48,3,0,"[40, 5, 3]"
48,4,1,"[40, 5, 2, 2]"
48,4,0,"[40, 5, 2, 1]"
48,5,0,"[40, 5, 1, 1, 1]"
48,3,0,"[40, 4, 4]"
48,4,2,"[40, 4, 3, 3]"
48,4,1,"[40, 4, 3, 2]"
48,4,0,"[40, 4, 3, 1]"
48,4,0,"[40, 4, 2, 2]"
48,5,0,"[40, 4, 2, 1, 1]"
48,6,0,"[40, 4, 1, 1, 1, 1]"
48,4,1,"[40, 3, 3, 3]"
48,4,0,"[40, 3, 3, 2]"
48,5,0,"[40, 3, 3, 1, 1]"
48,5,1,"[40, 3, 2, 2, 2]"
48,5,0,"[40, 3, 2, 2, 1]"
48,6,0,"[40, 3, 2, 1, 1, 1]"
48,5,0,"[40, 2, 2, 2, 2]"
48,6,0,"[40, 2, 2, 2, 1, 1]"
48,2,0,"[24, 24]"
48,4,6,"[24, 10, 10, 10]"
48,4,1,"[24, 10, 10, 5]"
48,4,0,"[24, 10, 10, 4]"
48,5,2,"[24, 10, 10, 3, 3]"
48,5,1,"[24, 10, 10, 3, 2]"
48,5,0,"[24, 10, 10, 3, 1]"
48,5,0,"[24, 10, 10, 2, 2]"
48,6,0,"[24, 10, 10, 2, 1, 1]"
48,5,1,"[24, 10, 5, 5, 5]"
48,5,0,"[24, 10, 5, 5, 4]"
48,6,2,"[24, 10, 5, 5, 3, 3]"
48,6,1,"[24, 10, 5, 5, 3, 2]"
48,6,0,"[24, 10, 5, 5, 3, 1]"
48,6,0,"[24, 10, 5, 5, 2, 2]"
48,6,3,"[24, 10, 5, 4, 4, 4]"
48,6,2,"[24, 10, 5, 4, 4, 3]"
48,6,1,"[24, 10, 5, 4, 4, 2]"
48,6,0,"[24, 10, 5, 4, 4, 1]"
48,6,1,"[24, 10, 5, 4, 3, 3]"
48,6,0,"[24, 10, 5, 4, 3, 2]"
48,6,0,"[24, 10, 5, 3, 3, 3]"
48,6,2,"[24, 10, 4, 4, 4, 4]"
48,6,1,"[24, 10, 4, 4, 4, 3]"
48,6,0,"[24, 10, 4, 4, 4, 2]"
48,6,0,"[24, 10, 4, 4, 3, 3]"
48,6,1,"[24, 5, 5, 5, 5, 5]"
48,6,0,"[24, 5, 5, 5, 5, 4]"
48,5,2,"[10, 10, 10, 10, 10]"
48,6,2,"[10, 10, 10, 10, 5, 5]"
48,6,1,"[10, 10, 10, 10, 5, 4]"
48,6,0,"[10, 10, 10, 10, 5, 3]"
48,6,0,"[10, 10, 10, 10, 4, 4]"
