target,num_stamps,overpayment,stamps
150,1,0,[150]
150,2,62,"[106, 106]"
150,2,46,"[106, 90]"
150,2,22,"[106, 66]"
150,2,7,"[106, 51]"
150,3,36,"[106, 40, 40]"
150,3,20,"[106, 40, 24]"
150,3,6,"[106, 40, 10]"
150,3,1,"[106, 40, 5]"
150,3,0,"[106, 40, 4]"
150,4,2,"[106, 40, 3, 3]"
150,4,1,"[106, 40, 3, 2]"
150,4,0,"[106, 40, 3, 1]"
150,4,0,"[106, 40, 2, 2]"
150,3,4,"[106, 24, 24]"
150,4,0,"[106, 24, 10, 10]"
150,2,30,"[90, 90]"
150,2,6,"[90, 66]"
150,3,42,"[90, 51, 51]"
150,3,31,"[90, 51, 40]"
150,3,15,"[90, 51, 24]"
150,3,1,"[90, 51, 10]"
150,4,1,"[90, 51, 5, 5]"
150,4,0,"[90, 51, 5, 4]"
150,3,20,"[90, 40, 40]"
150,3,4,"[90, 40, 24]"
150,4,0,"[90, 40, 10, 10]"
150,4,12,"[90, 24, 24, 24]"
150,3,48,"[66, 66, 66]"
150,3,33,"[66, 66, 51]"
150,3,22,"[66, 66, 40]"
150,3,6,"[66, 66, 24]"
150,4,2,"[66, 66, 10, 10]"
150,3,18,"[66, 51, 51]"
150,3,7,"[66, 51, 40]"
150,4,15,"[66, 51, 24, 24]"
150,4,1,"[66, 51, 24, 10]"
150,4,36,"[66, 40, 40, 40]"
150,4,20,"[66, 40, 40, 24]"
150,4,6,"[66, 40, 40, 10]"
150,4,1,"[66, 40, 40, 5]"
150,4,0,"[66, 40, 40, 4]"
150,4,4,"[66, 40, 24, 24]"
150,3,3,"[51, 51, 51]"
150,4,32,"[51, 51, 40, 40]"
150,4,16,"[51, 51, 40, 24]"
150,4,2,"[51, 51, 40, 10]"
150,4,0,"[51, 51, 24, 24]"
150,4,21,"[51, 40, 40, 40]"
150,4,5,"[51, 40, 40, 24]"
150,4,10,"[40, 40, 40, 40]"
