target,num_stamps,overpayment,stamps
66,1,84,[150]
66,1,40,[106]
66,1,24,[90]
66,1,0,[66]
66,2,36,"[51, 51]"
66,2,25,"[51, 40]"
66,2,9,"[51, 24]"
66,3,5,"[51, 10, 10]"
66,3,0,"[51, 10, 5]"
66,4,3,"[51, 10, 4, 4]"
66,4,2,"[51, 10, 4, 3]"
66,4,1,"[51, 10, 4, 2]"
66,4,0,"[51, 10, 4, 1]"
66,4,1,"[51, 10, 3, 3]"
66,4,0,"[51, 10, 3, 2]"
66,4,0,"[51, 5, 5, 5]"
66,2,14,"[40, 40]"
66,3,22,"[40, 24, 24]"
66,3,8,"[40, 24, 10]"
66,3,3,"[40, 24, 5]"
66,3,2,"[40, 24, 4]"
66,3,1,"[40, 24, 3]"
66,3,0,"[40, 24, 2]"
66,4,0,"[40, 24, 1, 1]"
66,4,4,"[40, 10, 10, 10]"
66,3,6,"[24, 24, 24]"
66,4,2,"[24, 24, 10, 10]"
