target,num_stamps,overpayment,stamps
51,1,99,[150]
51,1,55,[106]
51,1,39,[90]
51,1,15,[66]
51,1,0,[51]
51,2,29,"[40, 40]"
51,2,13,"[40, 24]"
51,3,9,"[40, 10, 10]"
51,3,4,"[40, 10, 5]"
51,3,3,"[40, 10, 4]"
51,3,2,"[40, 10, 3]"
51,3,1,"[40, 10, 2]"
51,3,0,"[40, 10, 1]"
51,4,4,"[40, 5, 5, 5]"
51,4,3,"[40, 5, 5, 4]"
51,4,2,"[40, 5, 5, 3]"
51,4,1,"[40, 5, 5, 2]"
51,4,0,"[40, 5, 5, 1]"
51,4,2,"[40, 5, 4, 4]"
51,4,1,"[40, 5, 4, 3]"
51,4,0,"[40, 5, 4, 2]"
51,4,0,"[40, 5, 3, 3]"
51,4,1,"[40, 4, 4, 4]"
51,4,0,"[40, 4, 4, 3]"
51,3,21,"[24, 24, 24]"
51,3,7,"[24, 24, 10]"
51,3,2,"[24, 24, 5]"
51,3,1,"[24, 24, 4]"
51,3,0,"[24, 24, 3]"
51,4,1,"[24, 24, 2, 2]"
51,4,0,"[24, 24, 2, 1]"
51,4,3,"[24, 10, 10, 10]"
