target,num_stamps,overpayment,stamps
145,1,0,[145]
145,2,77,"[111, 111]"
145,2,69,"[111, 103]"
145,2,66,"[111, 100]"
145,2,53,"[111, 87]"
145,2,29,"[111, 63]"
145,2,14,"[111, 48]"
145,2,6,"[111, 40]"
145,3,14,"[111, 24, 24]"
145,3,0,"[111, 24, 10]"
145,4,0,"[111, 24, 5, 5]"
145,5,3,"[111, 24, 5, 4, 4]"
145,5,2,"[111, 24, 5, 4, 3]"
145,5,1,"[111, 24, 5, 4, 2]"
145,5,0,"[111, 24, 5, 4, 1]"
145,5,1,"[111, 24, 5, 3, 3]"
145,5,0,"[111, 24, 5, 3, 2]"
145,6,0,"[111, 24, 5, 3, 1, 1]"
145,6,1,"[111, 24, 5, 2, 2, 2]"
145,6,0,"[111, 24, 5, 2, 2, 1]"
145,5,2,"[111, 24, 4, 4, 4]"
145,5,1,"[111, 24, 4, 4, 3]"
145,5,0,"[111, 24, 4, 4, 2]"
145,6,0,"[111, 24, 4, 4, 1, 1]"
145,5,0,"[111, 24, 4, 3, 3]"
145,6,1,"[111, 24, 4, 3, 2, 2]"
145,6,0,"[111, 24, 4, 3, 2, 1]"
145,6,0,"[111, 24, 4, 2, 2, 2]"
145,6,2,"[111, 24, 3, 3, 3, 3]"
145,6,1,"[111, 24, 3, 3, 3, 2]"
145,6,0,"[111, 24, 3, 3, 3, 1]"
145,6,0,"[111, 24, 3, 3, 2, 2]"
145,5,6,"[111, 10, 10, 10, 10]"
145,5,1,"[111, 10, 10, 10, 5]"
145,5,0,"[111, 10, 10, 10, 4]"
145,6,2,"[111, 10, 10, 10, 3, 3]"
145,6,1,"[111, 10, 10, 10, 3, 2]"
145,6,0,"[111, 10, 10, 10, 3, 1]"
145,6,0,"[111, 10, 10, 10, 2, 2]"
145,6,1,"[111, 10, 10, 5, 5, 5]"
145,6,0,"[111, 10, 10, 5, 5, 4]"
145,2,61,"[103, 103]"
145,2,58,"[103, 100]"
145,2,45,"[103, 87]"
145,2,21,"[103, 63]"
145,2,6,"[103, 48]"
145,3,38,"[103, 40, 40]"
145,3,22,"[103, 40, 24]"
145,3,8,"[103, 40, 10]"
145,3,3,"[103, 40, 5]"
145,3,2,"[103, 40, 4]"
145,3,1,"[103, 40, 3]"
145,3,0,"[103, 40, 2]"
145,4,0,"[103, 40, 1, 1]"
145,3,6,"[103, 24, 24]"
145,4,2,"[103, 24, 10, 10]"
145,5,2,"[103, 24, 10, 5, 5]"
145,5,1,"[103, 24, 10, 5, 4]"
145,5,0,"[103, 24, 10, 5, 3]"
145,6,1,"[103, 24, 10, 5, 2, 2]"
145,6,0,"[103, 24, 10, 5, 2, 1]"
145,5,0,"[103, 24, 10, 4, 4]"
145,6,2,"[103, 24, 10, 4, 3, 3]"
145,6,1,"[103, 24, 10, 4, 3, 2]"
145,6,0,"[103, 24, 10, 4, 3, 1]"
145,6,0,"[103, 24, 10, 4, 2, 2]"
145,6,1,"[103, 24, 10, 3, 3, 3]"
145,6,0,"[103, 24, 10, 3, 3, 2]"
145,6,2,"[103, 24, 5, 5, 5, 5]"
145,6,1,"[103, 24, 5, 5, 5, 4]"
145,6,0,"[103, 24, 5, 5, 5, 3]"
145,6,0,"[103, 24, 5, 5, 4, 4]"
145,6,8,"[103, 10, 10, 10, 10, 10]"
145,6,3,"[103, 10, 10, 10, 10, 5]"
