target,num_stamps,overpayment,stamps
63,1,82,[145]
63,1,48,[111]
63,1,40,[103]
63,1,37,[100]
63,1,24,[87]
63,1,0,[63]
63,2,33,"[48, 48]"
63,2,25,"[48, 40]"
63,2,9,"[48, 24]"
63,3,5,"[48, 10, 10]"
63,3,0,"[48, 10, 5]"
63,4,3,"[48, 10, 4, 4]"
63,4,2,"[48, 10, 4, 3]"
63,4,1,"[48, 10, 4, 2]"
63,4,0,"[48, 10, 4, 1]"
63,4,1,"[48, 10, 3, 3]"
63,4,0,"[48, 10, 3, 2]"
63,5,0,"[48, 10, 3, 1, 1]"
63,5,1,"[48, 10, 2, 2, 2]"
63,5,0,"[48, 10, 2, 2, 1]"
63,6,0,"[48, 10, 2, 1, 1, 1]"
63,4,0,"[48, 5, 5, 5]"
63,5,3,"[48, 5, 5, 4, 4]"
63,5,2,"[48, 5, 5, 4, 3]"
63,5,1,"[48, 5, 5, 4, 2]"
63,5,0,"[48, 5, 5, 4, 1]"
63,5,1,"[48, 5, 5, 3, 3]"
63,5,0,"[48, 5, 5, 3, 2]"
63,6,0,"[48, 5, 5, 3, 1, 1]"
63,6,1,"[48, 5, 5, 2, 2, 2]"
63,6,0,"[48, 5, 5, 2, 2, 1]"
63,5,2,"[48, 5, 4, 4, 4]"
63,5,1,"[48, 5, 4, 4, 3]"
63,5,0,"[48, 5, 4, 4, 2]"
63,6,0,"[48, 5, 4, 4, 1, 1]"
63,5,0,"[48, 5, 4, 3, 3]"
63,6,1,"[48, 5, 4, 3, 2, 2]"
63,6,0,"[48, 5, 4, 3, 2, 1]"
63,6,0,"[48, 5, 4, 2, 2, 2]"
63,6,2,"[48, 5, 3, 3, 3, 3]"
63,6,1,"[48, 5, 3, 3, 3, 2]"
63,6,0,"[48, 5, 3, 3, 3, 1]"
63,6,0,"[48, 5, 3, 3, 2, 2]"
63,5,1,"[48, 4, 4, 4, 4]"
63,5,0,"[48, 4, 4, 4, 3]"
63,6,1,"[48, 4, 4, 4, 2, 2]"
63,6,0,"[48, 4, 4, 4, 2, 1]"
63,6,2,"[48, 4, 4, 3, 3, 3]"
63,6,1,"[48, 4, 4, 3, 3, 2]"
63,6,0,"[48, 4, 4, 3, 3, 1]"
63,6,0,"[48, 4, 4, 3, 2, 2]"
63,6,1,"[48, 4, 3, 3, 3, 3]"
63,6,0,"[48, 4, 3, 3, 3, 2]"
63,6,0,"[48, 3, 3, 3, 3, 3]"
63,2,17,"[40, 40]"
63,2,1,"[40, 24]"
63,4,7,"[40, 10, 10, 10]"
63,4,2,"[40, 10, 10, 5]"
63,4,1,"[40, 10, 10, 4]"
63,4,0,"[40, 10, 10, 3]"
63,5,1,"[40, 10, 10, 2, 2]"
63,5,0,"[40, 10, 10, 2, 1]"
63,6,0,"[40, 10, 10, 1, 1, 1]"
63,5,2,"[40, 10, 5, 5, 5]"
63,5,1,"[40, 10, 5, 5, 4]"
63,5,0,"[40, 10, 5, 5, 3]"
63,6,1,"[40, 10, 5, 5, 2, 2]"
63,6,0,"[40, 10, 5, 5, 2, 1]"
63,5,0,"[40, 10, 5, 4, 4]"
63,6,2,"[40, 10, 5, 4, 3, 3]"
63,6,1,"[40, 10, 5, 4, 3, 2]"
63,6,0,"[40, 10, 5, 4, 3, 1]"
63,6,0,"[40, 10, 5, 4, 2, 2]"
63,6,1,"[40, 10, 5, 3, 3, 3]"
63,6,0,"[40, 10, 5, 3, 3, 2]"
63,6,3,"[40, 10, 4, 4, 4, 4]"
63,6,2,"[40, 10, 4, 4, 4, 3]"
63,6,1,"[40, 10, 4, 4, 4, 2]"
63,6,0,"[40, 10, 4, 4, 4, 1]"
63,6,1,"[40, 10, 4, 4, 3, 3]"
63,6,0,"[40, 10, 4, 4, 3, 2]"
63,6,0,"[40, 10, 4, 3, 3, 3]"
63,6,2,"[40, 5, 5, 5, 5, 5]"
63,6,1,"[40, 5, 5, 5, 5, 4]"
63,6,0,"[40, 5, 5, 5, 5, 3]"
63,6,0,"[40, 5, 5, 5, 4, 4]"
63,3,9,"[24, 24, 24]"
63,4,5,"[24, 24, 10, 10]"
63,4,0,"[24, 24, 10, 5]"
63,5,3,"[24, 24, 10, 4, 4]"
63,5,2,"[24, 24, 10, 4, 3]"
63,5,1,"[24, 24, 10, 4, 2]"
63,5,0,"[24, 24, 10, 4, 1]"
63,5,1,"[24, 24, 10, 3, 3]"
63,5,0,"[24, 24, 10, 3, 2]"
63,6,0,"[24, 24, 10, 3, 1, 1]"
63,6,1,"[24, 24, 10, 2, 2, 2]"
63,6,0,"[24, 24, 10, 2, 2, 1]"
63,5,0,"[24, 24, 5, 5, 5]"
63,6,3,"[24, 24, 5, 5, 4, 4]"
63,6,2,"[24, 24, 5, 5, 4, 3]"
63,6,1,"[24, 24, 5, 5, 4, 2]"
63,6,0,"[24, 24, 5, 5, 4, 1]"
63,6,1,"[24, 24, 5, 5, 3, 3]"
63,6,0,"[24, 24, 5, 5, 3, 2]"
63,6,2,"[24, 24, 5, 4, 4, 4]"
63,6,1,"[24, 24, 5, 4, 4, 3]"
63,6,0,"[24, 24, 5, 4, 4, 2]"
63,6,0,"[24, 24, 5, 4, 3, 3]"
63,6,1,"[24, 24, 4, 4, 4, 4]"
63,6,0,"[24, 24, 4, 4, 4, 3]"
63,5,1,"[24, 10, 10, 10, 10]"
63,6,1,"[24, 10, 10, 10, 5, 5]"
63,6,0,"[24, 10, 10, 10, 5, 4]"
